Gruppe,enthalten in,Rückgabetyp,Name,Parameter,Beschreibung
,Programm,,BG_COLUMNTYPE_DATETIMEOFFSET,,"Konstante für den Spaltentyp ""datetimeoffset"""
,Programm,,BG_COLUMNTYPE_GEOGRAPHY,,"Konstante für den Spaltentyp ""geography"""
,Programm,,BG_COLUMNTYPE_UNKNOWN,,Konstante für einen unbekannten Spaltentyp.
Filehandling,Programm,string,BGGetTemporaryFileName,"string __sFileExtension,string __sFilePrefix","Diese Funktion retourniert einen neuen und einzigartigen Filenamen 
im persönlichen ""AppData\\Local\\Temp"" Basisverzeichnis als String 
mit der angegeben Filendung und Präfix. 
Dieser String kann als einzigartiger Pfad für das Speichern
von Files weiterverwendet werden."
,Programm,string,GetValidFileName,"string __FileName,string __ReplacementCharacter","Der Funktion kann ein bestehender Filename und ein Character, mit welchem 
ungültige Zeichen ersetzt werden, mitgegeben werden. 
Für das Replacement Zeichen sind nur gültige Filenamenszeichen zugelassen.
Der zurückgegebene String ist somit ein gültiger Filename. 

string sTest = GetValidFileName(""a%"", ""b"")
--> sTest = ab"
,Programm,string,BGGetUniqueFileName,string __sFileName,"Diese Funktion retourniert einen neuen und einzigartigen Dateinamen
für den angebenen Dateipfad. Sollte die angebene Datei schon existieren, wird
wie bei Windows eine Nummer ans Ende des Namens gehängt und so lange
erhöht, bis der Dateinamen einzigartig ist."
,Programm,,BGFileDialog,"string __sDefaultDirectory,string __sFilter,long __lOptions","Öffnet den Windowsdialog zur Auswahl von Dateien. Dem Dialog kann ein Ursprungsverzeichnis und ein Dateityp-Filter mitgegeben werden.
Zudem kann der Dialog mit mehreren Optionen gestartet werden:
BGFILEDIALOG_OPTION_SAVE_AS /Öffnen des Dialogs um eine Datei zu speichern
BGFILEDIALOG_OPTION_OPEN_SINGLE //Öffnen des Dialogs um eine einzelne Datei auszuwählen
BGFILEDIALOG_OPTION_OPEN_MULTIPLE  //Öffnen des Dialogs um mehrere Dateien auszuwählen"
,Programm,,BGFILEDIALOG_OPTION_SAVE_AS,,Konstante für das Öffnen des Dialogs um eine Datei zu speichern.
,Programm,,BGFILEDIALOG_OPTION_OPEN_SINGLE,,Konstante für das Öffnen des Dialogs um eine einzelne Datei auszuwählen.
,Programm,,BGFILEDIALOG_OPTION_OPEN_MULTIPLE,,Konstante für das Öffnen des Dialogs um mehrere Dateien auszuwählen.
,Programm,,BGHasFileDialogProblematicFiles,,"Retourniert true, wenn mittels BGFileDialog Dateien mit nicht repräsentierbaren Unicode-Zeichen ausgewählt wurden."
,Programm,,BGShowFileDialogProblematicFiles,,"Zeigt eine Message-Box mit den Dateien an, welche über BGFileDialog  ausgewählt wurden und nicht repräsentierbare Unicode-Zeichen enthalten."
DialogManager,Programm,short,IDABORT,,Zeigt in einer MessageBox die Schaltfläche Abbrechen an.
,Programm,short,IDCANCEL,,Der Wert den eine Messagebox zurück gibt wenn die Schaltfläche Abbrechen gedrückt wurde.
,Programm,short,IDIGNORE,,Der Wert den eine Messagebox zurück gibt wenn die Schaltfläche Ignorieren gedrückt wurde.
,Programm,short,IDNO,,Der Wert den eine Messagebox zurück gibt wenn die Schaltfläche Nein gedrückt wurde.
,Programm,short,IDOK,,Der Wert den eine Messagebox zurück gibt wenn die Schaltfläche Ok gedrückt wurde.
,Programm,short,IDRETRY,,Der Wert den eine Messagebox zurück gibt wenn die Schaltfläche Wiederholen gedrückt wurde.
,Programm,short,IDYES,,Der Wert den eine Messagebox zurück gibt wenn die Schaltfläche Ja gedrückt wurde.
,Programm,short,MB_ABORTRETRYIGNORE,,"Zeigt in einer MessageBox die Schaltflächen Abbrechen, Wiederholen und Ignorieren an."
,Programm,short,MB_DEFBUTTON2,,"Legt fest, das in einer MessageBox die focusierte Schaltfläche auf der 2. Schaltfläche liegt."
,Programm,short,MB_DEFBUTTON3,,"Legt fest, das in einer MessageBox die focusierte Schaltfläche auf der 3. Schaltfläche liegt."
,Programm,short,MB_ICONEXCLAMATION,,Zeigt das Icon Ausnahme in einer MessageBox an.
,Programm,short,MB_ICONINFORMATION,,Zeigt das Icon Information in einer MessageBox an.
,Programm,short,MB_ICONQUESTION,,Zeigt das Icon Fragezeichen in einer MessageBox an.
,Programm,short,MB_ICONSTOP,,Zeigt das Icon Stop in einer MessageBox an.
,Programm,short,MB_OK,,Zeigt in einer Messagebox die Schaltfläche Ok an.
,Programm,short,MB_OKCANCEL,,Zeigt in einer Messagebox die Schaltflächen Ok und abbrechen an.
,Programm,short,MB_RETRYCANCEL,,Zeigt in einer Messagebox die Schaltfläche Wiederholen und Abbrechen an.
,Programm,short,MB_SYSTEMMODAL,,"Legt fest, das eine Messagebox Systemmodal ist, D.h. sie ist überall sichtbar egal welche Anwendung in den Vordergrund gehohlt wird."
,Programm,short,MB_YESNO,,Zeigt in einer Messagebox die Schaltflächen Ja und Nein an.
,Programm,short,MB_YESNOCANCEL,,"Zeigt in einer Messagebox die Schaltflächen Ja, Nein, Abbrechen an."
,Programm,void,RepositionDialogElement,"string _p_DialogKey,string _p_ElementName,long _p_Line,long _p_Col,long _p_Width,long _p_Height",
,Programm,void,AddToolbarButton,"string _p_DialogKey,string _Icon,string _ToolTip,callback _callback",Erzeugt eine Schaltfläche auf einer Toolbar in einem Dialog oder MIF. Dem Button muss eine Funktion zugewiesen werden. Es kann ihm jedoch kein Shortcut zugewiesen werden. Dies erfolgt über die Funktion SetDialogShortcut.
,Programm,void,AddToolbarSeparator,string _p_DialogKey,Fügt in der Reihenfolge einen Separator in eine Toolbar ein.
,Programm,void,AddToolbarCombo,"string _p_DialogKey,string ComboKey",Fügt einer Toolbar eine Auswahlliste hinzu. Über die Kennung können später der Auswahlliste Elemente hinzugefügt werden.
,Programm,void,AddToolbarComboButton,"string _p_DialogKey,string _ComboKey,string _Icon,string _ToolTip,callback _callback",Erzeugt einen Eintag in einer Toolbarauswahlliste die mit dem Befehl AddToolbarCombo erzeugt wurde.
,Programm,long,ShowMenu,string Menu,???
,Programm,long,AddGridColumn,"string _p_DialogKey,string _p_ElementName,string _p_Titel,long _p_ColFormat,long _p_ColWidth","Fügt eine neue Spalte zum Grid hinzu.
Gibt gibt die Spaltennummer zurück.

long lColNo = AddGridColumn(""CD"", ""GRID_1"", ""Titel"", CDM_LEFT, 70);"
,Programm,long,InsertGridColumn,"string _p_DialogKey,string _p_ElementName,long _p_ColIndex,string _p_Titel,long _p_ColFormat,long _p_ColWidth","Fügt eine neu Spalte an der gewünschten Stelle im Grid ein.
Die Funktion gibt die Spaltennummer zurück.

long lColumn = InsertGridColumn(""CD"", ""GRID_1"", lIndex, ""New Text Column"", CDM_LEFT,50);"
,Programm,long,AddGridRow,"string _p_DialogKey,string _p_ElementName,long _p_RowFormat,long _p_RowHeight","Fügt eine neue Zeile am Ende des Grids hinzu.
Die Funktion gibt die Zeilennummer der neuen Zeile zurück.

long nHeigth = 15;
long nRowNo = AddGridRow(""CD"", ""GRID_1"", CDM_RIGHT, nHeight );"
,Programm,long,InsertGridRow,"string _p_DialogKey,string _p_ElementName,long _p_RowIndex,long _p_RowFormat,long _p_RowHeight","Fügt eine neue Zeile an der gewünschten Position im Grid ein.
Die Funktion gibt die Zeilennummer der neuen Zeile zurück.

long nRowNo = InsertGridRow(""CD"", ""GRID_1"", lIndex, CDM_RIGHT, nHeight );"
,Programm,long,AddGridRowFull,"string _p_DialogKey,string _p_ElementName,long _p_RowFormat,long _p_RowHeight","Fügt eine neue Zeile am Ende des Grids hinzu.
Mit dieser Funktion wird in jeder Zelle der neuen Zeile eine leere String Zelle erzeugt.
Die Funktion gibt die Zeilennummer der neuen Zeile zurück.

long nHeigth = 15;
long nRowNo = AddGridRowFull(""CD"", ""GRID_1"", CDM_RIGHT, nHeight );"
,Programm,long,InsertGridRowFull,"string _p_DialogKey,string _p_ElementName,long _p_RowIndex,long _p_RowFormat,long _p_RowHeight","Fügt eine neue Zeile an der gewünschten Position im Grid ein.
Mit dieser Funktion wird in jeder Zelle der neuen Zeile eine leere String Zelle erzeugt.
Die Funktion gibt die Zeilennummer der neuen Zeile zurück.

long nRowNo = InsertGridRowFull(""CD"", ""GRID_1"", lIndex, CDM_RIGHT, nHeight );"
,Programm,void,AddGridStringCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Text,long _p_Format","Erzeugt einen Zelle mit einem String Wert im Grid in der gewünschten Zeile und Spalte.

AddGridStringCell(""CD"", ""GRID_1"", nRow, nCol, ""Wert"", lFormat1);"
,Programm,void,AddGridIntegerCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Value,long _p_Format","Erzeugt einen Zelle mit einer Ganz Zahl im Grid in der gewünschten Zeile und Spalte.

AddGridIntegerCell(""CD"", ""GRID_1"", nRow, nCol, 100, lFormat);"
,Programm,void,AddGridDoubleCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,double _p_Value,long _p_Format","Erzeugt einen Zelle mit einer Double Zahl im Grid in der gewünschten Zeile und Spalte.

AddGridDoubleCell(""CD"", ""GRID_1"", nRow, nCol, 0.100, lFormat + CDM_3_NKSTELLEN)"
,Programm,void,AddGridDateTimeCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_DateTime,long _p_Format","Erzeugt eine Datum/Zeit Zelle im Grid in der gewünschten Zeile und Spalte.

AddGridDateTimeCell(""CD"", ""GRID_1"", 0, nCol, ""15.12.1999"", lFormat);"
,Programm,void,AddGridComboBoxCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Format","Erzeugt einen Combobox im Grid in der gewünschten Zeile und Spalte.

AddGridComboBoxCell(""CD"", ""GRID_1"", nRow, nCol, lFormat);"
,Programm,long,AddGridComboBoxCellHT,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Format,string _p_HashTableName","Erzeugt einen Combobox im Grid in der gewünschten Zeile und Spalte.
Es wird ein Hashtabellen Name als Parameter übergeben, von der Hashtabelle welche zuvor mit AddGridHashTable() zum Grid hinzugefügt wurde.
Die Werte aus der Hashtabelle werden in die Combobox eingefügt.
Gibt die Anzahl Einträge in der Combobox zurück.

long lCount = AddGridComboBoxCellHT(""CD"", ""GRID_1"", 0, nCol, lFormat, strHashTableName);"
,Programm,void,AddGridRadioButtonCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Check,string _p_Label,long _p_Format","Erzeugt einen Zelle mit einem Radiobutton im Grid in der gewünschten Zeile und Spalte.

AddGridRadioButtonCell(""CD"", ""GRID_1"", nRow, nCol, FALSE, ""Label 1"", lFormat1);"
,Programm,void,AddGridCheckBoxCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Check,string _p_Label,long _p_Format","Erzeugt eine Checkbox im Grid in der gewünschten Zeile und Spalte.

AddGridCheckBoxCell(""CD"", ""GRID_1"", nRow, nCol, FALSE, ""Label 1"", lFormat);"
,Programm,void,AddGridButtonCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Label,string _p_Icon,long _p_Format","Erzeugt einen Button im Grid in der gewünschten Zeile und Spalte.
Es kann ein Text oder ein Icon auf dem Button angezeigt werden.

AddGridButtonCell(""CD"", ""GRID_1"", nRow, nCol, ""Button 1"", """", lFormat);
AddGridButtonCell(""CD"", ""GRID_1"", nRow, nCol, """", ""INTERN:35"", lFormat);"
,Programm,void,AddGridPictureCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_BmpFilePath,long _p_Format","Erzeugt einen Zelle mit einem Bitmap Bild im Grid in der gewünschten Zeile und Spalte.
Der Pfad ist absolut.
Folgende Bilddateien werden unterstützt: 
- .bmp
- .gif
- .jpeg / .jpg
- .png
- .ico
- .tif / .tiff
- .wmf / .emf
 
string strBmpFilePath = BaseDir() + ""\\Example.bmp"";
AddGridPictureCell(""CD"", ""GRID_1"", nRow, nCol, strBmpFilePath, lFormat);"
,Programm,long,AddGridComboBoxValue,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Value,string _p_Data,string _p_Icon","Fügt einen Wert in die Combobox ein.
Der Index/Position des eingefügten Wertes wird zurückgegeben.

long nIndex = AddGridComboBoxValue(""CD"", ""GRID_1"", nRow, nCol, ""Entry 1"", 1, ""INTERN:35"");"
,Programm,void,AddGridHashTable,"string _p_DialogKey,string _p_ElementName,string _p_HashTableName,string _p_SqlStatement,string _p_FieldDisplay,string _p_FieldValue","Fügt ein Hashtabelle zum Grid hinzu, welche für das füllen einer Combobox verwendet werden kann.

string strHashTableName = ""CBHashTable"";
string strSql = ""select BEZEICHNUNG, AUF_STATUS_ID, ICONNAME from auf_status order by reihenfolge"";
AddGridHashTable(""CD"", ""GRID_1"", strHashTableName, strSql, ""BEZEICHNUNG"", ""AUF_STATUS_ID"");"
,Programm,void,SetGridRowTextColor,"string _p_DialogKey,string _p_ElementName,long _p_Row,string _p_Color","Die Text Farbe von allen Zellen einer Gridzeile setzen.

SetGridRowTextColor(""CD"", ""GRID_1"", nRow, ""0,0,255"");"
,Programm,void,SetGridRowBackgroundColor,"string _p_DialogKey,string _p_ElementName,long _p_Row,string _p_Color","Die Hintergrund Farbe von allen Zellen in einer Grid Zeile setzen.

SetGridRowBackgroundColor(""CD"", ""GRID_1"", nRow, ""255,0,0"");"
,Programm,void,SetGridColumnTextColor,"string _p_DialogKey,string _p_ElementName,long _p_Column,string _p_Color","Die Textfarbe für alle Zellen einer bestimment Grid Spalte setzen.

SetGridColumnTextColor(""CD"", ""GRID_1"", nCol, ""255,0,0"");"
,Programm,void,SetGridColumnBackgroundColor,"string _p_DialogKey,string _p_ElementName,long _p_Column,string _p_Color","Die Hintergrundfarbe für alle Zellen einer bestimmten Grid Spalte setzen.

SetGridColumnBackgroundColor(""CD"", ""GRID_1"", nCol, ""0,255,0"");"
,Programm,void,SetGridCellTextColor,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Color","Die Textfarbe einer Gridzelle setzen.

SetGridCellTextColor(""CD"", ""GRID_1"", nRow, nCol, ""255,255,255"");"
,Programm,string,GetGridCellTextColor,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column","Gibt die Text Farbe einer Zelle zurück.
Der Rückgabewert hat die Form ""255,255,255"", wobei der 1te wert für Rot, der 2te Wert für Grün und der 3te Wert für Blau steht.

string strColor = GetGridCellTextColor(""CD"", ""GRID_1"", 3, 1);"
,Programm,void,SetGridCellBackgroundColor,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Color","Die Hintergrundfarbe von einer Grid Zelle setzen.

SetGridCellBackGroundColor(""CD"", ""GRID_1"", 3, 1, ""0,0,99"");"
,Programm,string,GetGridCellBackgroundColor,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column","Gibt die Hintergrund Farbe einer Zelle zurück.
Der Rückgabewert hat die Form ""255,255,255"", wobei der 1te wert für Rot, der 2te Wert für Grün und der 3te Wert für Blau steht.

string strColor = GetGridCellBackGroundColor(""CD"", ""GRID_1"", 3, 1);"
,Programm,void,SetGridCellFontUnderline,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Underline","Den Text einer Gridzelle unterstreichen oder wieder aufheben.

SetGridCellFontUnderline(""CD"", ""GRID_1"", nRow, nCol, TRUE);"
,Programm,void,SetGridCellFontItalic,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Italic","Den Text einer Gridzelle als kursiv darstellen oder wieder aufheben.

SetGridCellFontItalic(""CD"", ""GRID_1"", nRow, nCol, TRUE);"
,Programm,void,SetGridCellFontBold,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Bold","Den Inhalt/Text in einer Gridzelle als 'Fett' darstellen oder wieder aufheben.

SetGridCellFontBold(""CD"", ""GRID_1"", lRow, lCol, TRUE);"
,Programm,void,SetGridCellFontHeight,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Height","Den Schriftgrad einer Gridzelle setzen.

SetGridCellFontHeight(""CD"", ""GRID_1"", nRow, nCol, 20);"
,Programm,long,SelectGridComboBoxValue,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Value","Ein Combobox Eintrag mit bestimmten Wert in einer Grid Combox selektieren.
Gibt den Index des selektierten Combobox Eintrages zurück. 

SelectGridComboBoxValue(""CD"", ""GRID_1"", nRow, nCol, string(4)); // select the last entry."
,Programm,void,SetGridRadioButton,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Check","Den Radio Button einer bestimmten Gridzelle an/abwählen.

SetGridRadioButton(""CD"", ""GRID_1"", lRow, lCol, 1);
SetGridRadioButton(""CD"", ""GRID_1"", lRow, lCol, 0);"
,Programm,void,SetGridCheckBox,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Check","In der Checkbox einer Gridzelle das 'Hacken' setzen oder entfernen.

SetGridCheckBox(""CD"", ""GRID_1"",  1);
SetGridCheckBox(""CD"", ""GRID_1"",  0);"
,Programm,void,SetGridCellText,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Text","Den Inhalt einer Gridzelle setzen.

SetGridCellText(""CD"", ""GRID_1"", nRow, nCol, ""Neuer Textwert"");
SetGridCellText(""CD"", ""GRID_1"", nRow, nCol, ""120"");
SetGridCellText(""CD"", ""GRID_1"", nRow, nCol, ""3.22"");"
,Programm,void,SetGridCellIcon,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_IconKey","Das Icon für eine bestimmte Gridzelle setzen.

SetGridCellIcon(""CD"", ""GRID_1"", nRow, nCol, ""INTERN:35"");"
,Programm,long,GetGridColumnCount,"string _p_DialogKey,string _p_ElementName","Gibt die Anzahl Spalten in einem Grid zurück.	

long lCount = GetGridColumnCount(""CD"", ""GRID_1"");"
,Programm,long,GetGridRowCount,"string _p_DialogKey,string _p_ElementName","Gibt die Anzahl Zeilen im Grid zurück.

long lRowCount = GetGridRowCount(""CD"", ""GRID_1"");"
,Programm,void,DeleteGridColumn,"string _p_DialogKey,string _p_ElementName,long _p_Column","Entfernt eine bestimmte Spalte von einem Grid.

long lColumIndex = 1; // the 2nd column.
DeleteGridColumn(""CD"", ""GRID_1"", lColumIndex);"
,Programm,void,DeleteGridRow,"string _p_DialogKey,string _p_ElementName,long _p_Row","Enfernt eine bestimmte Zeile aus dem Grid.

DeleteGridRow(""CD"", ""GRID_1"", lRowIndex);"
,Programm,void,DeleteAllGridColumns,,"Entfernt alle Spalten von einem Grid.
Dadurch werden auch alle Zeilen und alle Zellen aus dem Grid gelöscht.

DeleteAllGridColumns(""CD"", ""GRID_1"");"
,Programm,void,DeleteAllGridRows,,"Entfernt alle Zeillen von einem Grid.
Dadurch werden auch alle Zellen im Grid gelöscht.

DeleteAllGridRows(""CD"", ""GRID_1"");"
,Programm,void,SetGridColumnTitel,"string _p_DialogKey,string _p_ElementName,long _p_Column,string _p_Titel","Den Titel einer Grid Spalte setzen.

SetGridColumnTitel(""CD"", ""GRID_1"", lColumIndex, ""Neuer Titel"");"
,Programm,void,EnableGridCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,long _p_Enable","Legt fest, ob eine Grid Zelle editierbar ist oder nicht.
Kann zur Laufzeit aufgerufen werden um die Eingabe in bestimmte Felder frei zu geben oder zu sperren.


EnableGridCell(""CD"", ""GRID_1"", lRow, lColumn, 0);"
,Programm,string,GetGridCellText,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column","Gibt den Anzeigewert für eine Grid Zelle zurück.

string strValue = GetGridCellText(""CD"", ""GRID_1"", lRow, lColumn);"
,Programm,void,SetGridRowData,"string _p_DialogKey,string _p_ElementName,long _p_Row,string _p_Data","Den Daten String von einer Gridzeile setzen.

SetGridRowData(""CD"", ""GRID_1"", nRowNo, ""Data Row"" );"
,Programm,string,GetGridRowData,"string _p_DialogKey,string _p_ElementName,long _p_Row","Gibt die Daten einer bestimmten Grid Zeile zurück.

string strData = GetGridRowData(""CD"", ""GRID_1"", lRow);"
,Programm,void,SetGridCellData,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_Data","Einen Daten String an einer bestimmten Gridzelle zuweisen.

SetGridCellData(""CD"", ""GRID_1"", nRowNo, nColNo,  strData);"
,Programm,string,GetGridCellData,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column","Gibt den Daten Wert für eine bestimmte Grid Zelle zurück.

string strData = GetGridCellData(""CD"", ""GRID_1"", lRow, lColumn);"
,Programm,void,MergeGridCells,"string _p_DialogKey,string _p_ElementName,long _p_RowStart,long _p_ColumnStart,long _p_RowEnd,long _p_ColumnEnd","Zusammenlegen von mehreren Zellen.
Es können Zellen aus mehreren Spalten und Zeilen zusammengelegt werden.

// die ersten zwei zellen in einer reihe 'mergen'.
long lColStart = 0;
long lRowStart = nRowNo;
long lColEnd = 1;
long lRowEnd = nRowNo;
MergeGridCells(""CD"", ""GRID_1"", lRowStart, lColStart, lRowEnd, lColEnd);"
,Programm,void,SetGridCallbackFunction,"string _p_DialogKey,string _p_ElementName,string _p_Event,string _p_FunctionName","Setzen der Grid Calllback Funktionen ""STARTEDIT"", ""ACCEPTEDIT"", ""SELCHANGE"" und ""RBTNCLK"".

SetGridCallbackFunction(""CD"", ""GRID_1"", ""STARTEDIT"", callback CallbackStartEditGrid);
SetGridCallbackFunction(""CD"", ""GRID_1"", ""ACCEPTEDIT"", callback CallbackAcceptEditGrid);
SetGridCallbackFunction(""CD"", ""GRID_1"", ""SELCHANGE"", callback CallbackSelChangeGrid);
SetGridCallbackFunction(""CD"", ""GRID_1"", ""RBTNCLK"", callback CallbackRightMButtonClick);
SetGridCallbackFunction(""CD"", ""GRID_1"", ""BEGINZOOM"", callback CallbackBeginZoom);
SetGridCallbackFunction(""CD"", ""GRID_1"", ""ENDZOOM"", callback CallbackEndZoom);"
,Programm,void,SetGridCellButtonCallbackFunction,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column,string _p_FunctionName","Eine Script Funktion als Callback Funktion für das Drücken eines Gridzell Button definieren.
Beim Drücken des Button im Grid wird die definierte Funktion aufgerufen.

SetGridCellButtonCallbackFunction(""CD"", ""GRID_1"", nRow, nCol, callback CallBackCellButton);"
,Programm,void,EditGridCell,"string _p_DialogKey,string _p_ElementName,long _p_Row,long _p_Column","Diese Funktion gibt die Zelle zur Bearbeitung frei.
Wird in der Callback Funktion von ""STARTEDIT"" verwendet.

EditGridCell(""CD"", ""GRID_1"", lRow, lColumn);"
,Programm,void,AcceptGridEditCell,"string _p_DialogKey,string _p_ElementName","Schreibt nach der Prüfung in der Callback Funktion ""ACCEPTEDIT"" den neuen Wert in die Zelle.

AcceptGridEditCell(""CD"", ""GRID_1"");"
,Programm,long,GetGridFocusedColumn,"string _p_DialogKey,string _p_ElementName","Gibt die Nummer/Index der Spalte zurück, in der sich die fokusierte Zelle befindet.

long lColumn = GetGridFocusedColumn(""CD"", ""GRID_1"");"
,Programm,long,GetGridFocusedRow,"string _p_DialogKey,string _p_ElementName","Gibt die Nummer/Index der Zeile zurück, in der sich die fokusierte Zelle befindet.

long lRow = GetGridFocusedRow(""CD"", ""GRID_1"");"
